vano,mes,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade,indicador_roubo_rua,indicador_roubo_veic,registro_ocorrencias,fase
2015,5,347,2.0,8,44.0,482,5844,354.0,159.0,3322.0,525,83,2451,559,5416,643,3,1.0,916.0,5.0,147.0,0.0,1216,11965,1432,3256,951.0,1436.0,0.0,7759,14834,1.0,206.0,7.0,3019.0,2256,917.0,1177.0,206.0,2031,3094.0,806.0,1878.0,57.0,5992.0,520.0,44,4.0,4.0,1.0,401,6975,2451,64230.0,3
2015,6,272,2.0,16,44.0,477,5535,389.0,140.0,3369.0,465,96,2254,566,4421,619,3,1.0,896.0,5.0,106.0,3.0,1243,10678,1333,2974,968.0,1514.0,5.0,7475,14269,0.0,192.0,10.0,2940.0,2134,845.0,1134.0,204.0,1768,3128.0,798.0,1676.0,57.0,5678.0,493.0,52,4.0,1.0,1.0,334,5936,2254,60357.0,3
2015,7,306,2.0,9,61.0,484,5711,427.0,146.0,3399.0,595,96,2425,542,4844,602,1,3.0,964.0,8.0,98.0,24.0,1167,11369,1381,2856,852.0,1488.0,220.0,7484,14281,0.0,183.0,11.0,3146.0,2543,1122.0,1230.0,231.0,1905,3028.0,842.0,1802.0,83.0,5917.0,498.0,38,2.0,2.0,0.0,378,6410,2425,63135.0,3
2015,8,336,2.0,11,49.0,467,6268,436.0,154.0,3603.0,530,100,2322,486,4825,628,0,2.0,1109.0,5.0,93.0,17.0,1173,11290,1390,2840,860.0,1632.0,170.0,7255,14147,0.0,191.0,10.0,2970.0,2461,1032.0,1273.0,201.0,1837,3136.0,885.0,1781.0,71.0,5993.0,487.0,45,1.0,0.0,0.0,398,6562,2322,63173.0,3
2015,9,351,0.0,6,58.0,598,6165,388.0,141.0,3304.0,561,91,2417,536,4760,793,2,2.0,1195.0,8.0,125.0,21.0,1151,11662,1419,3138,889.0,2072.0,187.0,7776,15481,1.0,162.0,6.0,2760.0,2267,953.0,1151.0,204.0,1851,2864.0,872.0,1671.0,93.0,5914.0,592.0,48,8.0,2.0,0.0,415,6748,2417,63327.0,3
2015,10,380,2.0,10,52.0,410,6531,383.0,150.0,3400.0,514,109,2500,661,5076,719,1,3.0,1073.0,3.0,106.0,19.0,1202,11986,1388,2734,896.0,1738.0,201.0,7237,14194,0.0,156.0,14.0,2959.0,2410,1055.0,1222.0,198.0,1848,2984.0,883.0,1724.0,100.0,6422.0,509.0,34,2.0,0.0,0.0,444,6868,2500,64029.0,3
2015,11,340,5.0,5,47.0,479,6774,405.0,156.0,3072.0,591,115,2611,684,5410,651,2,4.0,1167.0,4.0,114.0,17.0,1189,12559,1455,2771,845.0,1552.0,149.0,7184,13956,0.0,193.0,7.0,3046.0,2213,898.0,1149.0,211.0,1925,2932.0,780.0,1649.0,97.0,6124.0,552.0,31,4.0,2.0,0.0,397,7228,2611,63006.0,3
2015,12,382,3.0,11,29.0,480,6956,415.0,152.0,3456.0,612,122,3136,920,5640,727,3,1.0,1103.0,7.0,94.0,17.0,1436,13818,1377,3049,988.0,1533.0,154.0,8058,15159,0.0,138.0,15.0,3283.0,2213,1129.0,941.0,191.0,1923,2644.0,720.0,1377.0,77.0,6138.0,523.0,51,5.0,3.0,0.0,425,7470,3136,67080.0,3
2016,1,406,2.0,18,53.0,518,6317,407.0,174.0,2827.0,618,123,3358,732,7209,814,2,1.0,1342.0,6.0,79.0,23.0,1366,15673,1515,3513,957.0,1741.0,147.0,8039,15912,0.0,137.0,5.0,3042.0,2249,935.0,1169.0,186.0,2341,2937.0,950.0,1372.0,86.0,5660.0,606.0,49,3.0,1.0,0.0,479,9365,3358,67980.0,3
2016,2,404,6.0,22,49.0,497,6570,329.0,139.0,2865.0,579,114,3056,621,7753,813,3,2.0,1376.0,4.0,64.0,14.0,1754,16153,1456,4047,829.0,1804.0,168.0,8255,16559,0.0,118.0,6.0,2673.0,2092,815.0,1106.0,212.0,2103,3076.0,862.0,1443.0,86.0,5767.0,481.0,43,7.0,0.0,0.0,481,9942,3056,68785.0,3
2016,3,445,2.0,18,61.0,552,6356,380.0,111.0,2929.0,599,97,3392,636,7455,909,3,10.0,1448.0,11.0,85.0,17.0,1532,16194,1409,2466,919.0,1514.0,173.0,7691,14172,0.0,195.0,6.0,3271.0,2287,843.0,1282.0,213.0,2499,3352.0,1020.0,1640.0,76.0,6167.0,501.0,59,6.0,4.0,0.0,526,9812,3392,68196.0,3
2016,4,475,1.0,15,78.0,549,5767,428.0,140.0,3056.0,575,107,3259,727,6774,896,2,2.0,1456.0,8.0,57.0,13.0,1635,15511,1438,2074,849.0,1391.0,171.0,7110,13033,1.0,151.0,9.0,2936.0,2047,712.0,1171.0,198.0,2392,3133.0,887.0,1350.0,98.0,5317.0,468.0,36,1.0,3.0,1.0,569,9126,3259,63881.0,3
2016,5,369,4.0,16,84.0,480,5333,371.0,145.0,2869.0,599,91,3258,734,7446,1026,0,2.0,1447.0,3.0,71.0,15.0,1729,16421,1541,2259,835.0,1322.0,197.0,7362,13516,0.0,141.0,7.0,3360.0,2125,765.0,1196.0,201.0,2417,3047.0,834.0,1525.0,95.0,4999.0,456.0,38,7.0,5.0,1.0,473,9919,3258,65276.0,3
2016,6,373,5.0,25,75.0,421,4677,368.0,122.0,2940.0,517,120,3310,698,8000,1114,3,3.0,1617.0,5.0,44.0,19.0,1662,17112,1454,2212,831.0,1299.0,160.0,6778,12734,0.0,109.0,4.0,3097.0,1972,781.0,1055.0,192.0,2393,2911.0,834.0,1649.0,109.0,4981.0,427.0,43,1.0,1.0,0.0,478,10731,3310,64330.0,3
2016,7,368,8.0,15,74.0,482,5636,394.0,144.0,3019.0,631,100,3105,700,7834,1144,1,8.0,1681.0,5.0,68.0,17.0,1539,16833,1300,2117,811.0,1370.0,148.0,7535,13281,2.0,126.0,3.0,3129.0,2221,925.0,1128.0,208.0,2399,2968.0,737.0,1551.0,124.0,5178.0,497.0,50,1.0,3.0,0.0,465,10659,3105,66294.0,3
2016,8,387,4.0,14,74.0,530,5368,390.0,159.0,3209.0,642,103,3041,759,8032,1173,1,2.0,1754.0,7.0,67.0,13.0,1623,17217,1241,2509,956.0,1582.0,161.0,9502,15951,0.0,109.0,5.0,3484.0,2148,952.0,1045.0,190.0,2084,2910.0,780.0,1378.0,120.0,5239.0,437.0,41,1.0,7.0,0.0,479,10959,3041,69548.0,3
2016,9,425,3.0,19,88.0,478,5679,431.0,153.0,2864.0,668,110,3439,892,8050,1310,2,4.0,1805.0,2.0,67.0,21.0,1693,18063,1281,2078,898.0,1554.0,193.0,7863,13867,1.0,128.0,3.0,3038.0,2057,869.0,1045.0,181.0,2365,2696.0,803.0,1172.0,90.0,5489.0,463.0,45,3.0,1.0,0.0,535,11165,3439,67474.0,3
2016,10,465,7.0,30,87.0,511,6366,412.0,171.0,2992.0,645,110,4181,944,8957,1526,3,3.0,1947.0,8.0,60.0,18.0,1823,20225,1367,2058,839.0,1422.0,183.0,7834,13703,5.0,152.0,4.0,3279.0,1888,820.0,931.0,161.0,2480,2841.0,792.0,1099.0,76.0,5537.0,566.0,44,2.0,2.0,0.0,589,12430,4181,70271.0,3
2016,11,461,8.0,18,94.0,528,5705,392.0,142.0,2622.0,663,136,4111,1102,8676,1611,2,9.0,1880.0,8.0,44.0,8.0,1971,20221,1394,1943,770.0,1332.0,146.0,7407,12992,1.0,127.0,10.0,2798.0,1901,718.0,1038.0,169.0,2712,2809.0,822.0,1082.0,95.0,5197.0,493.0,46,2.0,7.0,0.0,581,12167,4111,66725.0,3
2016,12,464,6.0,29,108.0,509,6249,403.0,183.0,2758.0,552,107,4186,1329,7632,1395,2,5.0,1796.0,5.0,71.0,13.0,2065,19158,1363,1999,758.0,1243.0,166.0,7989,13518,2.0,120.0,7.0,2805.0,2029,824.0,1090.0,153.0,2505,3065.0,780.0,1070.0,88.0,5317.0,510.0,47,3.0,4.0,0.0,607,10823,4186,67282.0,3
2017,1,479,1.0,25,98.0,549,4700,409.0,155.0,1759.0,334,81,4206,693,5133,828,3,3.0,1137.0,1.0,40.0,8.0,1754,14221,1357,1442,469.0,875.0,128.0,5803,10074,0.0,84.0,7.0,1727.0,1704,524.0,1066.0,143.0,3149,2860.0,762.0,944.0,121.0,3794.0,367.0,45,1.0,4.0,0.0,603,7098,4206,51390.0,3
2017,2,503,4.0,26,85.0,452,2521,324.0,170.0,848.0,277,49,4286,452,2260,487,0,4.0,551.0,3.0,11.0,4.0,1330,9714,1310,663,167.0,527.0,39.0,3089,5795,0.0,49.0,8.0,717.0,1266,372.0,808.0,120.0,2307,2396.0,535.0,882.0,82.0,1409.0,236.0,39,1.0,1.0,0.0,618,3298,4286,31231.0,3
2017,3,498,6.0,28,123.0,449,3897,421.0,175.0,1396.0,527,98,5002,781,6109,1306,3,7.0,1937.0,4.0,32.0,26.0,3661,19493,1428,1536,472.0,1346.0,158.0,8680,13620,3.0,131.0,1.0,1996.0,1706,488.0,1090.0,151.0,2932,3062.0,811.0,1425.0,93.0,3058.0,350.0,33,1.0,1.0,0.0,655,9352,5002,60412.0,3
2017,4,436,1.0,22,80.0,538,5659,363.0,184.0,2379.0,652,127,4891,1032,8543,1591,1,6.0,2520.0,7.0,60.0,14.0,3484,22928,1289,1575,573.0,1281.0,204.0,7789,12711,4.0,132.0,7.0,2616.0,1814,620.0,1058.0,169.0,3481,2960.0,696.0,1354.0,114.0,4596.0,361.0,27,2.0,7.0,0.0,539,12654,4891,67962.0,3
2017,5,425,1.0,20,97.0,504,5190,419.0,188.0,2755.0,669,124,4596,1240,9669,1616,1,12.0,2548.0,7.0,53.0,13.0,2655,23203,1302,1866,813.0,1410.0,243.0,8359,13993,1.0,156.0,17.0,3059.0,1862,610.0,1114.0,182.0,3522,2982.0,639.0,1443.0,128.0,4650.0,379.0,18,4.0,1.0,0.0,543,13833,4596,71895.0,3
2017,6,390,2.0,18,97.0,475,5010,394.0,172.0,2611.0,619,129,4551,982,8534,1379,2,6.0,2336.0,3.0,67.0,13.0,2544,21165,1383,1655,701.0,1435.0,151.0,7361,12686,0.0,159.0,15.0,2782.0,1864,620.0,1088.0,191.0,3227,2718.0,606.0,1635.0,121.0,4576.0,406.0,23,2.0,1.0,1.0,507,12249,4551,67336.0,3
2017,7,374,1.0,23,63.0,421,5052,371.0,186.0,2618.0,636,105,4951,908,8567,1552,3,3.0,2468.0,8.0,59.0,19.0,2569,21848,1206,1634,720.0,1418.0,168.0,7329,12475,0.0,128.0,11.0,2836.0,1791,719.0,956.0,155.0,3476,2722.0,601.0,1594.0,193.0,4524.0,404.0,23,1.0,5.0,0.0,461,12587,4951,67937.0,3
2017,8,397,4.0,16,70.0,528,5230,433.0,178.0,2576.0,649,111,4613,843,8815,1628,2,1.0,2417.0,6.0,79.0,4.0,2638,21806,1318,1754,757.0,1340.0,183.0,7768,13120,0.0,145.0,11.0,2988.0,1887,725.0,1016.0,182.0,3494,2833.0,623.0,1818.0,222.0,4701.0,420.0,42,5.0,2.0,1.0,487,12860,4613,70380.0,3
2017,9,458,2.0,12,106.0,479,5643,457.0,176.0,2607.0,535,109,4316,677,7683,1273,0,3.0,2215.0,3.0,82.0,14.0,2555,19465,1281,1874,782.0,1756.0,183.0,7799,13675,0.0,137.0,6.0,2729.0,1852,723.0,1009.0,163.0,2958,2897.0,721.0,1578.0,175.0,4806.0,429.0,30,2.0,1.0,2.0,578,11171,4316,67396.0,3
2017,10,486,7.0,17,98.0,550,6132,503.0,181.0,2538.0,625,104,4266,901,7450,1194,1,3.0,2243.0,5.0,63.0,14.0,2570,19439,1321,1578,750.0,1536.0,147.0,7710,13042,0.0,118.0,7.0,2960.0,1887,734.0,1007.0,174.0,3184,2754.0,555.0,1516.0,150.0,5359.0,470.0,38,3.0,1.0,0.0,608,10887,4266,68003.0,3
2017,11,455,6.0,16,125.0,547,5506,473.0,155.0,2330.0,576,111,4197,937,6835,1268,3,5.0,2032.0,6.0,68.0,7.0,2698,18743,1300,1781,682.0,1462.0,160.0,6754,12139,0.0,125.0,10.0,2669.0,1894,720.0,1034.0,163.0,3056,2658.0,535.0,1369.0,145.0,4777.0,409.0,34,2.0,3.0,0.0,602,10135,4197,63950.0,3
2017,12,445,4.0,14,85.0,509,6015,385.0,192.0,2455.0,501,110,4491,1153,6395,1151,3,7.0,1976.0,3.0,76.0,10.0,2536,18412,1213,1805,655.0,1241.0,160.0,6886,11960,0.0,93.0,11.0,2393.0,1785,727.0,927.0,178.0,2844,2513.0,461.0,1342.0,123.0,4785.0,400.0,25,1.0,4.0,0.0,548,9522,4491,62715.0,3
2018,1,468,6.0,23,157.0,607,5575,409.0,164.0,2093.0,596,108,5286,977,7810,1070,3,10.0,2044.0,4.0,68.0,17.0,2935,20928,1264,2263,675.0,1425.0,139.0,7420,13186,0.0,123.0,12.0,2815.0,1793,626.0,1024.0,175.0,3695,2788.0,567.0,1000.0,149.0,4834.0,453.0,44,1.0,5.0,1.0,654,10924,5286,67683.0,3
2018,2,441,5.0,21,102.0,494,5087,446.0,129.0,1793.0,552,113,4792,742,7268,1011,1,5.0,2154.0,1.0,65.0,4.0,2976,19684,1159,2327,548.0,1578.0,116.0,6691,12419,0.0,107.0,12.0,2137.0,1588,572.0,913.0,132.0,3292,2505.0,503.0,1206.0,151.0,4261.0,334.0,41,0.0,2.0,0.0,569,10433,4792,61383.0,3
2018,3,508,6.0,20,109.0,553,5473,452.0,171.0,2308.0,638,115,5358,918,7638,1385,2,5.0,2183.0,9.0,52.0,8.0,2729,21040,1249,1623,743.0,1224.0,150.0,6557,11546,0.0,136.0,4.0,2654.0,1744,673.0,950.0,152.0,3450,2795.0,577.0,1347.0,109.0,4962.0,428.0,33,1.0,4.0,0.0,643,11206,5358,66035.0,3
2018,4,476,2.0,14,101.0,491,5299,428.0,176.0,2410.0,665,104,4656,892,7596,1352,1,5.0,2101.0,8.0,67.0,13.0,2517,19977,1346,1596,748.0,1146.0,149.0,6522,11507,0.0,101.0,17.0,2659.0,1857,718.0,992.0,172.0,3444,2937.0,581.0,1297.0,147.0,4706.0,370.0,26,0.0,1.0,0.0,593,11049,4656,64527.0,3
2018,5,423,2.0,13,145.0,535,5157,452.0,158.0,2354.0,631,105,4382,752,8034,1501,2,7.0,2294.0,7.0,94.0,14.0,2783,20606,1361,1610,783.0,1173.0,181.0,7008,12116,0.0,145.0,7.0,3159.0,1966,691.0,1119.0,184.0,3148,3071.0,582.0,1430.0,210.0,4669.0,373.0,45,5.0,3.0,0.0,583,11829,4382,66922.0,3
2018,6,375,6.0,11,155.0,571,4983,440.0,195.0,2175.0,525,111,4014,755,7735,1346,1,7.0,2247.0,4.0,80.0,16.0,2654,19495,1278,1467,690.0,1229.0,156.0,6401,11221,0.0,133.0,11.0,2885.0,1809,610.0,1066.0,167.0,2422,2911.0,578.0,1268.0,228.0,4423.0,413.0,30,2.0,1.0,1.0,547,11328,4014,62142.0,3
2018,7,410,6.0,9,130.0,546,5223,419.0,153.0,2361.0,503,94,3518,731,7488,1312,1,1.0,2196.0,6.0,58.0,12.0,2321,18241,1294,1653,649.0,1366.0,137.0,6580,11679,2.0,127.0,8.0,3226.0,1880,662.0,1082.0,170.0,2478,2741.0,607.0,1387.0,190.0,4587.0,387.0,26,6.0,3.0,1.0,555,10996,3518,62689.0,3
2018,8,360,6.0,13,176.0,535,4655,433.0,157.0,2267.0,535,109,3910,673,7261,1400,2,2.0,2170.0,4.0,62.0,12.0,2620,18760,1398,1553,733.0,1302.0,162.0,6944,12092,0.0,149.0,12.0,3615.0,1994,694.0,1141.0,201.0,3368,3050.0,587.0,1727.0,260.0,4532.0,377.0,24,4.0,2.0,0.0,555,10831,3910,65797.0,3
2018,9,382,7.0,14,108.0,509,5344,489.0,157.0,2504.0,463,103,4053,578,6756,1275,1,1.0,2182.0,9.0,160.0,16.0,2385,17982,1339,1419,655.0,1173.0,161.0,6686,11433,0.0,146.0,5.0,2809.0,1959,747.0,1062.0,183.0,2625,2798.0,470.0,1633.0,190.0,4666.0,386.0,17,1.0,4.0,0.0,511,10213,4053,62376.0,3
2018,10,383,2.0,11,127.0,491,5472,488.0,153.0,2382.0,454,95,4242,651,7360,1441,1,8.0,2477.0,9.0,83.0,18.0,2308,19147,1428,1597,735.0,1368.0,206.0,7036,12370,0.0,143.0,8.0,2959.0,1735,666.0,939.0,165.0,3176,2727.0,515.0,1105.0,171.0,4877.0,427.0,16,2.0,1.0,1.0,523,11278,4242,65589.0,3
2018,11,378,3.0,12,136.0,463,5277,424.0,153.0,2283.0,441,84,4074,725,7017,1384,5,3.0,2346.0,6.0,79.0,16.0,2363,18543,1325,1560,737.0,1357.0,176.0,6963,12118,1.0,121.0,4.0,2879.0,1716,664.0,931.0,160.0,2848,2754.0,489.0,1233.0,259.0,4657.0,410.0,24,2.0,1.0,0.0,529,10747,4074,63281.0,3
2018,12,346,5.0,13,88.0,447,5737,430.0,191.0,2590.0,434,108,3812,788,6459,1183,1,4.0,2144.0,16.0,73.0,13.0,2168,17203,1353,1772,620.0,1377.0,168.0,6893,12183,1.0,123.0,7.0,2696.0,1585,640.0,815.0,165.0,2502,2471.0,490.0,1147.0,217.0,4835.0,422.0,24,3.0,1.0,0.0,452,9786,3812,62043.0,3
2019,1,386,2.0,15,159.0,577,6423,459.0,157.0,2334.0,431,116,3785,740,7454,1328,2,7.0,2414.0,6.0,88.0,19.0,2365,18755,1415,2058,720.0,1581.0,168.0,7992,13934,0.0,129.0,6.0,3125.0,2021,792.0,1077.0,201.0,2810,2915.0,540.0,1266.0,236.0,5902.0,447.0,31,4.0,2.0,0.0,562,11196,3785,69609.0,3
2019,2,323,5.0,8,145.0,450,5210,440.0,157.0,2045.0,411,116,3554,645,7000,1356,4,1.0,2111.0,14.0,60.0,14.0,2124,17410,1344,1889,685.0,1613.0,158.0,7315,13004,0.0,144.0,7.0,3089.0,2090,798.0,1126.0,202.0,2556,3072.0,559.0,1392.0,235.0,4904.0,351.0,37,4.0,4.0,0.0,481,10467,3554,64967.0,3
2019,3,344,5.0,11,132.0,590,5902,469.0,160.0,2157.0,497,95,3775,638,7734,1532,1,4.0,2626.0,5.0,88.0,16.0,2547,19558,1364,2757,634.0,1889.0,202.0,8549,15395,0.0,159.0,6.0,3004.0,1941,740.0,1053.0,181.0,2470,3026.0,618.0,1392.0,306.0,5571.0,407.0,29,2.0,2.0,0.0,492,11892,3775,72100.0,3
2019,4,360,1.0,11,124.0,466,5573,483.0,172.0,2182.0,502,124,3755,667,7031,1585,2,4.0,2424.0,10.0,82.0,23.0,2245,18454,1244,1519,607.0,1318.0,211.0,7633,12532,0.0,151.0,11.0,3260.0,1909,745.0,1021.0,187.0,2624,3128.0,497.0,1648.0,350.0,5310.0,408.0,22,3.0,1.0,0.0,496,11040,3755,67797.0,3
2019,5,345,2.0,15,172.0,478,4958,465.0,145.0,2304.0,514,93,3649,710,7332,1625,1,3.0,2427.0,9.0,87.0,7.0,2216,18673,1480,1475,715.0,1423.0,220.0,7711,13024,0.0,147.0,7.0,3498.0,2034,735.0,1133.0,199.0,2450,3169.0,527.0,1771.0,248.0,5068.0,390.0,20,1.0,0.0,0.0,534,11384,3649,68336.0,3
2019,6,332,3.0,8,153.0,436,4769,414.0,152.0,2481.0,382,85,3115,599,6077,1287,1,4.0,2187.0,19.0,83.0,9.0,1984,15832,1251,1443,630.0,1345.0,189.0,7224,12082,0.0,133.0,6.0,3029.0,1854,763.0,976.0,158.0,2041,2848.0,467.0,1585.0,233.0,4497.0,403.0,20,1.0,3.0,0.0,496,9551,3115,61202.0,3
2019,7,309,5.0,10,194.0,399,4740,402.0,140.0,2334.0,386,72,3198,691,6637,1208,1,0.0,2226.0,12.0,97.0,16.0,2110,16654,1353,1570,746.0,1391.0,230.0,7632,12922,0.0,135.0,12.0,3627.0,1861,709.0,996.0,187.0,2355,2907.0,490.0,1856.0,267.0,4678.0,400.0,32,7.0,0.0,0.0,518,10071,3198,65817.0,2
2019,8,318,1.0,6,170.0,457,4760,460.0,156.0,2437.0,433,103,3181,587,6452,1215,1,1.0,2245.0,9.0,98.0,17.0,1794,16136,1361,1568,674.0,1534.0,185.0,7280,12602,0.0,132.0,12.0,3546.0,1862,668.0,1067.0,171.0,2081,3114.0,476.0,2028.0,265.0,4662.0,367.0,27,8.0,2.0,0.0,495,9912,3181,65285.0,2
